key1_in[9..0]  | key2[7..0]
0111011010   |  01100110  
0111011011   |  01101110  
0111011100   |  11100100  
0111011101   |  11101100  
0111011110   |  11100110  
0111011111   |  11101110  
0111100000   |  01010100  
0111100001   |  01011100  
0111100010   |  01010110  
0111100011   |  01011110  
0111100100   |  11010100  
0111100101   |  11011100  
0111100110   |  11010110  
0111100111   |  11011110  
0111101000   |  01010100  
0111101001   |  01011100  
0111101010   |  01010110  
0111101011   |  01011110  
0111101100   |  11010100  
0111101101   |  11011100  
0111101110   |  11010110  
0111101111   |  11011110  
0111110000   |  01110100  
0111110001   |  01111100  
0111110010   |  01110110  
0111110011   |  01111110  
0111110100   |  11110100  
0111110101   |  11111100  
0111110110   |  11110110  
0111110111   |  11111110  
0111111000   |  01110100  
0111111001   |  01111100  
0111111010   |  01110110  
0111111011   |  01111110  
0111111100   |  11110100  
0111111101   |  11111100  
0111111110   |  11110110  
0111111111   |  11111110  
1000000000   |  00000001  
1000000001   |  00001001  
1000000010   |  00000011  
1000000011   |  00001011  
1000000100   |  10000001  
1000000101   |  10001001  
1000000110   |  10000011  
1000000111   |  10001011  
1000001000   |  00000001  
1000001001   |  00001001  
1000001010   |  00000011  
1000001011   |  00001011  
1000001100   |  10000001  
1000001101   |  10001001  
1000001110   |  10000011  
1000001111   |  10001011  
1000010000   |  00100001  
1000010001   |  00101001  
1000010010   |  00100011  
1000010011   |  00101011  
1000010100   |  10100001  
1000010101   |  10101001  
1000010110   |  10100011  
1000010111   |  10101011  
1000011000   |  00100001  
1000011001   |  00101001  
1000011010   |  00100011  
1000011011   |  00101011  
1000011100   |  10100001  
1000011101   |  10101001  
1000011110   |  10100011  
1000011111   |  10101011  
1000100000   |  00010001  
1000100001   |  00011001  
1000100010   |  00010011  
1000100011   |  00011011  
1000100100   |  10010001  
1000100101   |  10011001  
1000100110   |  10010011  
1000100111   |  10011011  
1000101000   |  00010001  
1000101001   |  00011001  
1000101010   |  00010011  
1000101011   |  00011011  
1000101100   |  10010001  
1000101101   |  10011001  
1000101110   |  10010011  
1000101111   |  10011011  
1000110000   |  00110001  
1000110001   |  00111001  
1000110010   |  00110011  
1000110011   |  00111011  
1000110100   |  10110001  
1000110101   |  10111001  
1000110110   |  10110011  
1000110111   |  10111011  
1000111000   |  00110001  
1000111001   |  00111001  
1000111010   |  00110011  
1000111011   |  00111011  
1000111100   |  10110001  
1000111101   |  10111001  
1000111110   |  10110011  
1000111111   |  10111011  
1001000000   |  00000001  
1001000001   |  00001001  
1001000010   |  00000011  
1001000011   |  00001011  
1001000100   |  10000001  
1001000101   |  10001001  
1001000110   |  10000011  
1001000111   |  10001011  
1001001000   |  00000001  
1001001001   |  00001001  
1001001010   |  00000011  
1001001011   |  00001011  
1001001100   |  10000001  
1001001101   |  10001001  
1001001110   |  10000011  
1001001111   |  10001011  
1001010000   |  00100001  
1001010001   |  00101001  
1001010010   |  00100011  
1001010011   |  00101011  
1001010100   |  10100001  
1001010101   |  10101001  
1001010110   |  10100011  
1001010111   |  10101011  
1001011000   |  00100001  
1001011001   |  00101001  
1001011010   |  00100011  
1001011011   |  00101011  
1001011100   |  10100001  
1001011101   |  10101001  
1001011110   |  10100011  
1001011111   |  10101011  
1001100000   |  00010001  
1001100001   |  00011001  
1001100010   |  00010011  
1001100011   |  00011011  
1001100100   |  10010001  
1001100101   |  10011001  
1001100110   |  10010011  
1001100111   |  10011011  
1001101000   |  00010001  
1001101001   |  00011001  
1001101010   |  00010011  
1001101011   |  00011011  
1001101100   |  10010001  
1001101101   |  10011001  
1001101110   |  10010011  
1001101111   |  10011011  
1001110000   |  00110001  
1001110001   |  00111001  
1001110010   |  00110011  
1001110011   |  00111011  
1001110100   |  10110001  
1001110101   |  10111001  
1001110110   |  10110011  
1001110111   |  10111011  
1001111000   |  00110001  
1001111001   |  00111001  
1001111010   |  00110011  
1001111011   |  00111011  
1001111100   |  10110001  
1001111101   |  10111001  
1001111110   |  10110011  
1001111111   |  10111011  
1010000000   |  01000001  
1010000001   |  01001001  
1010000010   |  01000011  
1010000011   |  01001011  
1010000100   |  11000001  
1010000101   |  11001001  
1010000110   |  11000011  
1010000111   |  11001011  
1010001000   |  01000001  
1010001001   |  01001001  
1010001010   |  01000011  
1010001011   |  01001011  
1010001100   |  11000001  
1010001101   |  11001001  
1010001110   |  11000011  
1010001111   |  11001011  
1010010000   |  01100001  
1010010001   |  01101001  
1010010010   |  01100011  
1010010011   |  01101011  
1010010100   |  11100001  
1010010101   |  11101001  
1010010110   |  11100011  
1010010111   |  11101011  
1010011000   |  01100001  
1010011001   |  01101001  
1010011010   |  01100011  
1010011011   |  01101011  
1010011100   |  11100001  
1010011101   |  11101001  
1010011110   |  11100011  
1010011111   |  11101011  
1010100000   |  01010001  
1010100001   |  01011001  
1010100010   |  01010011  
1010100011   |  01011011  
1010100100   |  11010001  
1010100101   |  11011001  
1010100110   |  11010011  
1010100111   |  11011011  
1010101000   |  01010001  
1010101001   |  01011001  
1010101010   |  01010011  
1010101011   |  01011011  
1010101100   |  11010001  
1010101101   |  11011001  
1010101110   |  11010011  
1010101111   |  11011011  
1010110000   |  01110001  
1010110001   |  01111001  
1010110010   |  01110011  
1010110011   |  01111011  
1010110100   |  11110001  
1010110101   |  11111001  
1010110110   |  11110011  
1010110111   |  11111011  
1010111000   |  01110001  
1010111001   |  01111001  
1010111010   |  01110011  
1010111011   |  01111011  
1010111100   |  11110001  
1010111101   |  11111001  
1010111110   |  11110011  
1010111111   |  11111011  
1011000000   |  01000001  
1011000001   |  01001001  
1011000010   |  01000011  
1011000011   |  01001011  
1011000100   |  11000001  
1011000101   |  11001001  
1011000110   |  11000011  
1011000111   |  11001011  
1011001000   |  01000001  
1011001001   |  01001001  
1011001010   |  01000011  
1011001011   |  01001011  
1011001100   |  11000001  
1011001101   |  11001001  
1011001110   |  11000011  
1011001111   |  11001011  
1011010000   |  01100001  
1011010001   |  01101001  
1011010010   |  01100011  
1011010011   |  01101011  
1011010100   |  11100001  
1011010101   |  11101001  
1011010110   |  11100011  
1011010111   |  11101011  
1011011000   |  01100001  
1011011001   |  01101001  
1011011010   |  01100011  
1011011011   |  01101011  
1011011100   |  11100001  
1011011101   |  11101001  
1011011110   |  11100011  
1011011111   |  11101011  
1011100000   |  01010001  
1011100001   |  01011001  
1011100010   |  01010011  
1011100011   |  01011011  
1011100100   |  11010001  
1011100101   |  11011001  
1011100110   |  11010011  
1011100111   |  11011011  
1011101000   |  01010001  
1011101001   |  01011001  
1011101010   |  01010011  
1011101011   |  01011011  
1011101100   |  11010001  
1011101101   |  11011001  
1011101110   |  11010011  
1011101111   |  11011011  
1011110000   |  01110001  
1011110001   |  01111001  
1011110010   |  01110011  
1011110011   |  01111011  
1011110100   |  11110001  
1011110101   |  11111001  
1011110110   |  11110011  
1011110111   |  11111011  
1011111000   |  01110001  
1011111001   |  01111001  
1011111010   |  01110011  
1011111011   |  01111011  
1011111100   |  11110001  
1011111101   |  11111001  
1011111110   |  11110011  
1011111111   |  11111011  
1100000000   |  00000101  
1100000001   |  00001101  
1100000010   |  00000111  
1100000011   |  00001111  
1100000100   |  10000101  
1100000101   |  10001101  
1100000110   |  10000111  
1100000111   |  10001111  
1100001000   |  00000101  
1100001001   |  00001101  
1100001010   |  00000111  
1100001011   |  00001111  
1100001100   |  10000101  
1100001101   |  10001101  
1100001110   |  10000111  
1100001111   |  10001111  
1100010000   |  00100101  
1100010001   |  00101101  
1100010010   |  00100111  
1100010011   |  00101111  
1100010100   |  10100101  
1100010101   |  10101101  
1100010110   |  10100111  
1100010111   |  10101111  
1100011000   |  00100101  
1100011001   |  00101101  
1100011010   |  00100111  
1100011011   |  00101111  
1100011100   |  10100101  
1100011101   |  10101101  
1100011110   |  10100111  
1100011111   |  10101111  
1100100000   |  00010101  
1100100001   |  00011101  
1100100010   |  00010111  
1100100011   |  00011111  
1100100100   |  10010101  
1100100101   |  10011101  
1100100110   |  10010111  
1100100111   |  10011111  
1100101000   |  00010101  
1100101001   |  00011101  
1100101010   |  00010111  
1100101011   |  00011111  
1100101100   |  10010101  
1100101101   |  10011101  
1100101110   |  10010111  
1100101111   |  10011111  
1100110000   |  00110101  
1100110001   |  00111101  
1100110010   |  00110111  
1100110011   |  00111111  
1100110100   |  10110101  
1100110101   |  10111101  
1100110110   |  10110111  
1100110111   |  10111111  
1100111000   |  00110101  
1100111001   |  00111101  
1100111010   |  00110111  
1100111011   |  00111111  
1100111100   |  10110101  
1100111101   |  10111101  
1100111110   |  10110111  
1100111111   |  10111111  
1101000000   |  00000101  
1101000001   |  00001101  
1101000010   |  00000111  
1101000011   |  00001111  
1101000100   |  10000101  
1101000101   |  10001101  
1101000110   |  10000111  
1101000111   |  10001111  
1101001000   |  00000101  
1101001001   |  00001101  
1101001010   |  00000111  
1101001011   |  00001111  
1101001100   |  10000101  
1101001101   |  10001101  
1101001110   |  10000111  
1101001111   |  10001111  
1101010000   |  00100101  
1101010001   |  00101101  
1101010010   |  00100111  
1101010011   |  00101111  
1101010100   |  10100101  
1101010101   |  10101101  
1101010110   |  10100111  
1101010111   |  10101111  
1101011000   |  00100101  
1101011001   |  00101101  
1101011010   |  00100111  
1101011011   |  00101111  
1101011100   |  10100101  
1101011101   |  10101101  
1101011110   |  10100111  
1101011111   |  10101111  
1101100000   |  00010101  
1101100001   |  00011101  
1101100010   |  00010111  
1101100011   |  00011111  
1101100100   |  10010101  
1101100101   |  10011101  
1101100110   |  10010111  
1101100111   |  10011111  
1101101000   |  00010101  
1101101001   |  00011101  
1101101010   |  00010111  
1101101011   |  00011111  
1101101100   |  10010101  
1101101101   |  10011101  
1101101110   |  10010111  
1101101111   |  10011111  
1101110000   |  00110101  
1101110001   |  00111101  
1101110010   |  00110111  
1101110011   |  00111111  
1101110100   |  10110101  
1101110101   |  10111101  
1101110110   |  10110111  
1101110111   |  10111111  
1101111000   |  00110101  
1101111001   |  00111101  
1101111010   |  00110111  
1101111011   |  00111111  
1101111100   |  10110101  
1101111101   |  10111101  
1101111110   |  10110111  
1101111111   |  10111111  
1110000000   |  01000101  
1110000001   |  01001101  
1110000010   |  01000111  
1110000011   |  01001111  
1110000100   |  11000101  
1110000101   |  11001101  
1110000110   |  11000111  
1110000111   |  11001111  
1110001000   |  01000101  
1110001001   |  01001101  
1110001010   |  01000111  
1110001011   |  01001111  
1110001100   |  11000101  
1110001101   |  11001101  
1110001110   |  11000111  
1110001111   |  11001111  
1110010000   |  01100101  
1110010001   |  01101101  
1110010010   |  01100111  
1110010011   |  01101111  
1110010100   |  11100101  
1110010101   |  11101101  
1110010110   |  11100111  
1110010111   |  11101111  
1110011000   |  01100101  
1110011001   |  01101101  
1110011010   |  01100111  
1110011011   |  01101111  
1110011100   |  11100101  
1110011101   |  11101101  
1110011110   |  11100111  
1110011111   |  11101111  
1110100000   |  01010101  
1110100001   |  01011101  
1110100010   |  01010111  
1110100011   |  01011111  
1110100100   |  11010101  
1110100101   |  11011101  
1110100110   |  11010111  
1110100111   |  11011111  
1110101000   |  01010101  
1110101001   |  01011101  
1110101010   |  01010111  
1110101011   |  01011111  
1110101100   |  11010101  
1110101101   |  11011101  
1110101110   |  11010111  
1110101111   |  11011111  
1110110000   |  01110101  
1110110001   |  01111101  
1110110010   |  01110111  
1110110011   |  01111111  
1110110100   |  11110101  
1110110101   |  11111101  
1110110110   |  11110111  
1110110111   |  11111111  
1110111000   |  01110101  
1110111001   |  01111101  
1110111010   |  01110111  
1110111011   |  01111111  
1110111100   |  11110101  
1110111101   |  11111101  
1110111110   |  11110111  
1110111111   |  11111111  
1111000000   |  01000101  
1111000001   |  01001101  
1111000010   |  01000111  
1111000011   |  01001111  
1111000100   |  11000101  
1111000101   |  11001101  
1111000110   |  11000111  
1111000111   |  11001111  
1111001000   |  01000101  
1111001001   |  01001101  
1111001010   |  01000111  
1111001011   |  01001111  
1111001100   |  11000101  
1111001101   |  11001101  
1111001110   |  11000111  
1111001111   |  11001111  
1111010000   |  01100101  
1111010001   |  01101101  
1111010010   |  01100111  
1111010011   |  01101111  
1111010100   |  11100101  
1111010101   |  11101101  
1111010110   |  11100111  
1111010111   |  11101111  
1111011000   |  01100101  
1111011001   |  01101101  
1111011010   |  01100111  
1111011011   |  01101111  
1111011100   |  11100101  
1111011101   |  11101101  
1111011110   |  11100111  
1111011111   |  11101111  
1111100000   |  01010101  
1111100001   |  01011101  
1111100010   |  01010111  
1111100011   |  01011111  
1111100100   |  11010101  
1111100101   |  11011101  
1111100110   |  11010111  
1111100111   |  11011111  
1111101000   |  01010101  
1111101001   |  01011101  
1111101010   |  01010111  
1111101011   |  01011111  
1111101100   |  11010101  
1111101101   |  11011101  
1111101110   |  11010111  
1111101111   |  11011111  
1111110000   |  01110101  
1111110001   |  01111101  
1111110010   |  01110111  
1111110011   |  01111111  
1111110100   |  11110101  
1111110101   |  11111101  
1111110110   |  11110111  
1111110111   |  11111111  
1111111000   |  01110101  
1111111001   |  01111101  
1111111010   |  01110111  
1111111011   |  01111111  
1111111100   |  11110101  
1111111101   |  11111101  
1111111110   |  11110111  
1111111111   |  11111111  
